ℹ️ [19:11:56] ════════════════════════════════════════════════════════════
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
⏳ [19:12:00] ⏳ Tentativa 289/1000 (48 min decorridos)
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
⏳ [19:12:00] ⏳ Tentativa 301/1000 (50 min decorridos)
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
⏳ [19:12:00] ⏳ Tentativa 313/1000 (52 min decorridos)
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
⏳ [19:12:00] ⏳ Tentativa 325/1000 (54 min decorridos)
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
⏳ [19:12:00] ⏳ Tentativa 337/1000 (56 min decorridos)
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
⏳ [19:12:00] ⏳ Tentativa 349/1000 (58 min decorridos)
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
⏳ [19:12:01] ⏳ Tentativa 361/1000 (60 min decorridos)
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
⏳ [19:12:01] ⏳ Tentativa 373/1000 (62 min decorridos)
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
⏳ [19:12:01] ⏳ Tentativa 385/1000 (64 min decorridos)
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
⏳ [19:12:01] ⏳ Tentativa 397/1000 (66 min decorridos)
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
⏳ [19:12:01] ⏳ Tentativa 409/1000 (68 min decorridos)
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
